# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    3.901300433    0.027066207    0.027066206    0.027066207
    3.911303768    0.027330557    0.027330557    0.027330557
    3.921307102    0.027599943    0.027599943    0.027599943
    3.931310437    0.027874529    0.027874529    0.027874529
    3.941313771    0.028154489    0.028154489    0.028154489
    3.951317106    0.028440003    0.028440003    0.028440003
    3.961320440    0.028731261    0.028731261    0.028731261
    3.971323775    0.029028460    0.029028459    0.029028460
    3.981327109    0.029331807    0.029331807    0.029331807
    3.991330443    0.029641522    0.029641522    0.029641522
    4.001333778    0.029957831    0.029957831    0.029957831
    4.011337112    0.030280975    0.030280975    0.030280975
    4.021340447    0.030611204    0.030611204    0.030611204
    4.031343781    0.030948785    0.030948784    0.030948785
    4.041347116    0.031293993    0.031293993    0.031293993
    4.051350450    0.031647122    0.031647122    0.031647122
    4.061353785    0.032008480    0.032008480    0.032008480
    4.071357119    0.032378390    0.032378390    0.032378390
    4.081360453    0.032757196    0.032757195    0.032757196
    4.091363788    0.033145256    0.033145256    0.033145256
    4.101367122    0.033542952    0.033542952    0.033542952
    4.111370457    0.033950686    0.033950686    0.033950686
    4.121373791    0.034368883    0.034368883    0.034368883
    4.131377126    0.034797991    0.034797991    0.034797991
    4.141380460    0.035238488    0.035238488    0.035238488
    4.151383795    0.035690876    0.035690876    0.035690876
    4.161387129    0.036155691    0.036155691    0.036155691
    4.171390463    0.036633499    0.036633498    0.036633499
    4.181393798    0.037124902    0.037124902    0.037124902
    4.191397132    0.037630540    0.037630540    0.037630540
    4.201400467    0.038151095    0.038151095    0.038151095
    4.211403801    0.038687290    0.038687290    0.038687290
    4.221407136    0.039239899    0.039239899    0.039239899
    4.231410470    0.039809745    0.039809745    0.039809745
    4.241413805    0.040397708    0.040397708    0.040397708
    4.251417139    0.041004727    0.041004727    0.041004727
    4.261420473    0.041631809    0.041631809    0.041631809
    4.271423808    0.042280031    0.042280030    0.042280031
    4.281427142    0.042950546    0.042950545    0.042950546
    4.291430477    0.043644593    0.043644593    0.043644593
    4.301433811    0.044363504    0.044363504    0.044363504
    4.311437146    0.045108711    0.045108711    0.045108711
    4.321440480    0.045881754    0.045881754    0.045881754
    4.331443815    0.046684296    0.046684296    0.046684296
