# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    20.206130047   20.206130039   20.206130046
    3.081027009    4.341956631    4.341953057    4.341956762
    3.091030343    4.344858992    4.344855418    4.344859123
    3.101033678    4.347780344    4.347776771    4.347780475
    3.111037012    4.350720854    4.350717280    4.350720985
    3.121040347    4.353680689    4.353677115    4.353680820
    3.131043681    4.356660020    4.356656446    4.356660151
    3.141047016    4.359659021    4.359655447    4.359659152
    3.151050350    4.362677868    4.362674295    4.362677999
    3.161053685    4.365716742    4.365713168    4.365716873
    3.171057019    4.368775825    4.368772251    4.368775955
    3.181060353    4.371855301    4.371851727    4.371855432
    3.191063688    4.374955360    4.374951786    4.374955491
    3.201067022    4.378076193    4.378072620    4.378076324
    3.211070357    4.381217996    4.381214422    4.381218127
    3.221073691    4.384380967    4.384377393    4.384381098
    3.231077026    4.387565306    4.387561732    4.387565437
    3.241080360    4.390771220    4.390767646    4.390771351
    3.251083695    4.393998918    4.393995344    4.393999049
    3.261087029    4.397248611    4.397245037    4.397248742
    3.271090363    4.400520515    4.400516941    4.400520646
    3.281093698    4.403814851    4.403811277    4.403814982
    3.291097032    4.407131843    4.407128269    4.407131974
    3.301100367    4.410471718    4.410468144    4.410471849
    3.311103701    4.413834709    4.413831134    4.413834839
    3.321107036    4.417221051    4.417217477    4.417221182
    3.331110370    4.420630985    4.420627411    4.420631116
    3.341113705    4.424064757    4.424061182    4.424064887
    3.351117039    4.427522615    4.427519041    4.427522746
    3.361120373    4.431004815    4.431001240    4.431004945
    3.371123708    4.434511614    4.434508040    4.434511745
    3.381127042    4.438043279    4.438039704    4.438043409
    3.391130377    4.441600076    4.441596502    4.441600207
    3.401133711    4.445182281    4.445178707    4.445182412
    3.411137046    4.448790174    4.448786600    4.448790305
    3.421140380    4.452424039    4.452420465    4.452424170
    3.431143715    4.456084168    4.456080593    4.456084299
    3.441147049    4.459770856    4.459767282    4.459770987
    3.451150383    4.463484407    4.463480833    4.463484538
    3.461153718    4.467225130    4.467221555    4.467225260
    3.471157052    4.470993338    4.470989764    4.470993469
    3.481160387    4.474789355    4.474785780    4.474789486
    3.491163721    4.478613508    4.478609933    4.478613638
    3.501167056    4.482466131    4.482462557    4.482466262
    3.511170390    4.486347569    4.486343994    4.486347700
    3.521173725    4.490258169    4.490254594    4.490258300
    3.531177059    4.494198289    4.494194714    4.494198420
    3.541180393    4.498168294    4.498164719    4.498168425
    3.551183728    4.502168556    4.502164981    4.502168687
    3.561187062    4.506199457    4.506195882    4.506199587
    3.571190397    4.510261385    4.510257810    4.510261516
    3.581193731    4.514354739    4.514351164    4.514354870
    3.591197066    4.518479927    4.518476352    4.518480058
    3.601200400    4.522637365    4.522633790    4.522637495
    3.611203735    4.526827478    4.526823903    4.526827609
    3.621207069    4.531050704    4.531047128    4.531050834
    3.631210403    4.535307487    4.535303912    4.535307618
    3.641213738    4.539598287    4.539594712    4.539598417
    3.651217072    4.543923569    4.543919994    4.543923700
    3.661220407    4.548283814    4.548280239    4.548283945
    3.671223741    4.552679513    4.552675937    4.552679643
    3.681227076    4.557111167    4.557107592    4.557111298
    3.691230410    4.561579294    4.561575719    4.561579425
    3.701233745    4.566084422    4.566080846    4.566084552
    3.711237079    4.570627091    4.570623516    4.570627222
    3.721240413    4.575207859    4.575204284    4.575207990
    3.731243748    4.579827296    4.579823721    4.579827427
    3.741247082    4.584485987    4.584482411    4.584486117
    3.751250417    4.589184531    4.589180956    4.589184662
    3.761253751    4.593923547    4.593919972    4.593923678
    3.771257086    4.598703668    4.598700092    4.598703799
    3.781260420    4.603525544    4.603521968    4.603525674
    3.791263755    4.608389843    4.608386268    4.608389974
    3.801267089    4.613297254    4.613293678    4.613297385
    3.811270423    4.618248483    4.618244907    4.618248613
